"ville","departement","region_name"
"Beauvais","Oise","Picardie"
"Compiègne","Oise","Picardie"
"Clermont","Oise","Picardie"
"Senlis","Oise","Picardie"
"Amiens","Somme","Picardie"
"Laon","Aisne","Picardie"
"Saint Quentin","Aisne","Picardie"
"Soissons","Aisne","Picardie"
"75004","Paris","Ile de France"
"75012","Paris","Ile de France"
"75008","Paris","Ile de France"
"75001","Paris","Ile de France"
"Brest","Finistère","Bretagne"
"Quimper","Finistère","Bretagne"
"Vannes","Morbihan","Bretagne"
"Concarneau","Morbihan","Bretagne"
"Saint brieuc","Côtes d'Armor","Bretagne"
"Lannion","Côtes d'Armor","Bretagne"
"Guingamp","Côtes d'Armor","Bretagne"
"Saint malo","Ile et Vilaine","Bretagne"
"Dinard","Ile et Vilaine","Bretagne"
"Rennes","Ile et Vilaine","Bretagne"
"Caen","Calvados","Basse Normandie"
"Bayeux","Calvados","Basse Normandie"
"Avranche","Manche","Basse Normandie"
