id,prix,boutique_id,client_id,livre_id,temps_id
8819,17.0,9,1,3,1
8818,10.0,8,2,7,2
8817,10.65,20,3,1,3
8816,9.65,15,4,2,4
8815,11.0,12,5,8,5
8814,10.0,16,6,7,6
8813,10.0,18,7,7,7
8812,9.65,2,8,2,8
8811,11.0,20,9,8,9
8810,8.0,11,10,4,10
8809,10.65,2,11,1,11
8808,9.65,13,12,2,12
8807,9.65,10,13,2,13
8806,17.0,2,14,3,14
8805,8.0,1,15,4,15
8804,8.0,20,16,4,16
8803,9.65,4,17,2,17
8802,9.65,18,18,2,18
8801,17.0,2,19,3,19
8800,10.65,5,20,1,20
8799,17.0,7,21,3,21
8798,9.65,8,22,2,22
8797,9.65,23,23,2,23
8796,10.65,1,24,1,24
8795,11.0,1,25,8,25
8794,10.65,22,26,1,26
8793,9.65,21,27,2,27
8792,9.65,11,28,2,28
8791,11.0,3,29,8,29
8790,8.0,18,30,4,30
8789,10.65,15,31,1,31
8788,8.0,14,32,4,32
8787,40.0,17,33,6,33
8786,11.0,4,34,8,34
8785,9.65,9,35,2,35
8784,9.65,13,36,2,36
8783,8.0,9,37,4,37
8782,9.65,7,38,2,38
8781,10.65,16,39,1,39
8780,10.65,4,40,1,40
8779,10.0,14,41,7,12
8778,9.65,6,42,2,41
8777,10.65,14,43,1,42
8776,9.65,4,44,2,43
8775,17.0,15,45,3,44
8774,9.65,21,46,2,45
8773,9.65,15,47,2,46
8772,10.0,24,48,7,47
8771,17.0,23,49,3,48
8770,40.0,20,50,6,49
8769,9.65,10,51,2,50
8768,8.0,3,52,4,51
8767,8.0,5,53,4,52
8766,10.65,2,54,1,53
8765,9.65,6,55,2,54
8764,9.65,12,56,2,55
8763,8.0,5,57,4,56
8762,8.0,23,58,4,57
8761,9.65,6,59,2,58
8760,17.0,1,60,3,59
8759,9.65,13,61,2,60
8758,9.65,9,62,2,61
8757,9.65,2,63,2,62
8756,8.0,16,64,4,63
8755,9.65,23,65,2,64
8754,40.0,23,66,6,65
8753,9.65,4,67,2,66
8752,9.65,22,68,2,67
8751,10.65,24,69,1,68
8750,10.65,9,70,1,69
8749,11.0,15,71,8,70
8748,11.0,18,72,8,71
8747,10.0,7,73,7,72
8746,9.65,14,74,2,73
8745,10.65,1,75,1,74
8744,9.65,8,76,2,75
8743,11.0,15,77,8,76
8742,9.65,24,78,2,77
8741,9.65,24,79,2,78
8740,11.0,5,80,8,79
8739,8.0,7,81,4,80
8738,9.65,18,82,2,81
8737,10.0,9,83,7,82
8736,11.0,3,84,8,83
8735,10.0,21,85,7,84
8734,10.0,24,86,7,85
8733,8.0,14,87,4,86
8732,9.65,17,88,2,87
8731,10.65,10,89,1,88
8730,8.0,1,90,4,89
8729,8.0,5,91,4,90
8728,9.65,15,92,2,91
8727,9.65,22,93,2,92
8726,10.65,6,94,1,93
8725,11.0,22,95,8,94
8724,9.65,19,96,2,95
8723,10.65,19,97,1,96
8722,11.0,11,98,8,97
8721,10.0,16,99,7,98
8720,11.0,5,100,8,99
8719,10.0,18,101,7,100
8718,10.65,22,102,1,101
8717,11.0,6,103,8,102
8716,9.65,16,104,2,103
8715,9.65,10,105,2,104
8714,9.65,11,106,2,105
8713,8.0,19,107,4,106
8712,8.0,19,108,4,74
8711,8.0,12,109,4,107
8710,8.0,20,110,4,108
8709,9.65,23,111,2,109
8708,11.0,4,112,8,110
8707,11.0,24,113,8,111
8706,10.65,13,114,1,112
8705,10.65,6,115,1,113
8704,10.65,18,116,1,114
8703,9.65,3,117,2,115
8702,8.0,19,118,4,116
8701,10.65,19,119,1,117
8700,40.0,18,120,6,118
8699,9.65,11,121,2,119
8698,10.65,1,122,1,120
8697,9.65,11,123,2,121
8696,10.0,8,124,7,122
8695,10.65,17,125,1,123
8694,8.0,4,126,4,124
8693,9.65,2,127,2,125
8692,9.65,7,128,2,126
8691,10.65,4,129,1,127
8690,40.0,19,130,6,128
8689,10.65,10,131,1,129
8688,10.0,17,132,7,130
8687,10.0,4,133,7,131
8686,9.65,18,134,2,132
8685,8.0,13,135,4,133
8684,10.0,8,136,7,134
8683,10.65,22,137,1,135
8682,10.65,4,138,1,136
8681,10.65,17,139,1,137
8680,9.65,6,140,2,138
8679,10.65,6,141,1,139
8678,9.65,21,142,2,140
8677,10.65,21,143,1,141
8676,10.65,2,144,1,142
8675,8.0,7,145,4,143
8674,8.0,16,146,4,144
8673,10.65,12,147,1,145
8672,8.0,17,148,4,146
8671,8.0,13,149,4,147
8670,10.65,6,150,1,129
8669,9.65,16,151,2,148
8668,17.0,17,152,3,149
8667,11.0,14,153,8,150
8666,8.0,17,154,4,151
8665,8.0,5,155,4,152
8664,35.0,7,156,5,153
8663,8.0,13,157,4,154
8662,8.0,10,158,4,155
8661,9.65,19,159,2,156
8660,10.65,11,160,1,157
8659,10.0,18,161,7,158
8658,8.0,18,162,4,159
8657,11.0,3,163,8,160
8656,10.0,11,164,7,161
8655,9.65,1,165,2,162
8654,40.0,7,166,6,163
8653,11.0,11,167,8,159
8652,9.65,3,168,2,164
8651,8.0,8,169,4,165
8650,9.65,3,170,2,166
8649,11.0,7,171,8,167
8648,9.65,21,172,2,168
8647,9.65,2,173,2,140
8646,10.65,24,174,1,169
8645,10.65,24,175,1,170
8644,10.0,8,176,7,171
8643,8.0,19,177,4,172
8642,8.0,21,178,4,173
8641,9.65,1,179,2,174
8640,10.65,9,180,1,175
8639,9.65,6,181,2,176
8638,17.0,17,182,3,177
8637,9.65,24,183,2,178
8636,11.0,11,184,8,179
8635,10.65,23,185,1,180
8634,9.65,5,186,2,181
8633,8.0,24,187,4,182
8632,10.65,22,188,1,183
8631,8.0,6,189,4,184
8630,17.0,7,190,3,185
8629,9.65,13,191,2,186
8628,8.0,20,192,4,187
8627,10.65,24,193,1,188
8626,10.0,15,194,7,189
8625,8.0,4,195,4,190
8624,10.65,24,196,1,191
8623,11.0,13,197,8,85
8622,40.0,16,198,6,192
8621,8.0,11,199,4,193
8620,11.0,9,200,8,194
8619,8.0,1,201,4,195
8618,11.0,3,202,8,196
8617,10.65,1,203,1,197
8616,10.65,20,204,1,198
8615,10.65,7,205,1,199
8614,10.65,4,206,1,200
8613,8.0,19,207,4,201
8612,10.65,18,208,1,202
8611,9.65,3,209,2,203
8610,11.0,24,210,8,204
8609,10.65,9,211,1,205
8608,8.0,1,212,4,206
8607,11.0,17,213,8,207
8606,11.0,23,214,8,208
8605,9.65,11,215,2,209
8604,10.0,7,216,7,210
8603,10.65,7,217,1,211
8602,10.0,5,218,7,212
8601,9.65,6,219,2,213
8600,8.0,15,220,4,214
8599,10.65,24,221,1,215
8598,10.0,17,222,7,18
8597,9.65,17,223,2,216
8596,9.65,2,224,2,217
8595,8.0,11,225,4,218
8594,9.65,23,226,2,219
8593,9.65,17,227,2,220
8592,9.65,16,228,2,109
8591,10.0,1,229,7,221
8590,10.65,10,230,1,222
8589,9.65,7,231,2,223
8588,8.0,7,232,4,224
8587,10.65,14,233,1,225
8586,8.0,22,234,4,226
8585,11.0,15,235,8,227
8584,11.0,5,236,8,228
8583,10.65,16,237,1,229
8582,10.0,17,238,7,39
8581,8.0,9,239,4,230
8580,8.0,4,240,4,157
8579,11.0,1,241,8,231
8578,8.0,20,242,4,232
8577,8.0,19,243,4,233
8576,9.65,3,244,2,217
8575,8.0,8,245,4,234
8574,8.0,9,246,4,235
8573,11.0,22,247,8,236
8572,11.0,11,248,8,237
8571,10.65,1,249,1,238
8570,10.65,7,250,1,239
8569,8.0,17,251,4,240
8568,9.65,23,252,2,241
8567,10.0,15,253,7,242
8566,9.65,15,254,2,243
8565,10.65,8,255,1,244
8564,8.0,14,256,4,245
8563,10.0,24,257,7,246
8562,9.65,5,258,2,247
8561,10.65,22,259,1,248
8560,10.65,14,260,1,249
8559,9.65,13,261,2,250
8558,10.65,17,262,1,251
8557,9.65,21,263,2,81
8556,11.0,17,264,8,231
8555,10.0,13,265,7,252
8554,8.0,8,266,4,253
8553,9.65,9,267,2,151
8552,10.65,4,268,1,254
8551,10.65,19,269,1,255
8550,10.65,19,270,1,256
8549,40.0,21,271,6,257
8548,9.65,14,272,2,258
